state,population
Alabama,3615
Alaska,365
Arizona,2212
Arkansas,2110
California,21198
Colorado,2541
Connecticut,3100
Delaware,579
Florida,8277
Georgia,4931
Hawaii,868
Idaho,813
Illinois,11197
Indiana,5313
Iowa,2861
Kansas,2280
Kentucky,3387
Louisiana,3806
Maine,1058
Maryland,4122
Massachusetts,5814
Michigan,9111
Minnesota,3921
Mississippi,2341
Missouri,4767
Montana,746
Nebraska,1544
Nevada,590
New Hampshire,812
New Jersey,7333
New Mexico,1144
New York,18076
North Carolina,5441
North Dakota,637
Ohio,10735
Oklahoma,2715
Oregon,2284
Pennsylvania,11860
Rhode Island,931
South Carolina,2816
South Dakota,681
Tennessee,4173
Texas,12237
Utah,1203
Vermont,472
Virginia,4981
Washington,3559
West Virginia,1799
Wisconsin,4589
Wyoming,376
